generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,166.631,105.0576,0.154452,8.066354,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,155.1713,114.5297,0.155613,8.115526,0.148115,314.384,0.139145,7.302154,0.154
2,gen1 samples,153.216,116.7794,0.157433,8.188686,0.085269,293.7523,0.14353,7.475667,0.1807
3,gen2 samples,157.392,116.2659,0.157286,8.190003,0.085815,304.9237,0.141212,7.402326,0.1878
4,gen3 samples,152.6879,116.1797,0.157541,8.216564,0.085468,294.1471,0.143524,7.522518,0.1746
5,gen4 samples,153.239,116.516,0.155928,8.133028,0.083839,292.1408,0.140724,7.352413,0.2142
6,gen5 samples,153.1098,118.4705,0.156871,8.199085,0.167135,316.1232,0.141071,7.324346,0.2312
7,gen6 samples,156.3887,116.6476,0.156852,8.182768,0.129063,316.6986,0.141675,7.38765,0.2218
8,gen7 samples,154.8809,119.536,0.157844,8.215478,0.152184,323.2138,0.138917,7.236649,0.2497
9,gen8 samples,154.034,117.0868,0.157322,8.205576,0.083932,293.7587,0.145965,7.61174,0.1803
10,gen9 samples,149.7361,117.8643,0.157698,8.228359,0.113579,289.7372,0.141269,7.408899,0.1911
11,gen10 samples,150.8766,116.6279,0.157109,8.2093,0.083513,278.5948,0.141802,7.442935,0.1794
12,gen11 samples,150.9647,117.5416,0.158048,8.214149,0.103752,285.9445,0.142393,7.478578,0.1965
13,gen12 samples,153.0583,116.655,0.156967,8.15659,0.088953,297.0686,0.143238,7.472454,0.1901
14,gen13 samples,157.6097,115.869,0.156054,8.15127,0.126279,305.5024,0.140921,7.41219,0.194
15,gen14 samples,158.902,116.4172,0.156444,8.138853,0.086358,323.8824,0.138935,7.29489,0.1945
16,gen15 samples,152.7835,116.5247,0.157129,8.178146,0.089479,309.6438,0.141584,7.36741,0.1815
17,gen16 samples,152.9048,116.1571,0.156939,8.171374,0.08547,299.6383,0.13925,7.271066,0.208
18,gen17 samples,154.3386,116.8597,0.156329,8.165907,0.08413,300.568,0.141772,7.442286,0.1812
19,gen18 samples,147.2923,117.2135,0.156024,8.129379,0.105619,276.6047,0.13934,7.320411,0.1962
20,gen19 samples,146.8863,117.7355,0.157228,8.200731,0.107234,266.6838,0.143164,7.501138,0.2233
21,gen20 samples,148.4075,117.0926,0.15833,8.235345,0.089721,278.3482,0.14338,7.497583,0.1949
22,gen21 samples,153.2198,116.3375,0.157368,8.206483,0.098774,289.2978,0.14345,7.491813,0.2073
23,gen22 samples,150.7371,116.2191,0.156687,8.174615,0.083356,276.4641,0.142209,7.447722,0.1841
24,gen23 samples,151.2395,116.3994,0.156381,8.169637,0.08666,281.3787,0.14245,7.450113,0.2038
25,gen24 samples,151.0125,116.8378,0.1566,8.142476,0.084911,288.523,0.141496,7.400561,0.1864
26,gen25 samples,150.1692,116.7044,0.156972,8.210143,0.088235,276.4773,0.144167,7.546105,0.2029
27,gen26 samples,150.3609,117.0491,0.15857,8.275913,0.097365,279.7268,0.144102,7.555806,0.193
28,gen27 samples,143.7801,118.6993,0.156432,8.160533,0.14564,265.5852,0.14205,7.447682,0.2371
29,gen28 samples,151.7315,117.8487,0.156378,8.182137,0.096991,277.9875,0.140162,7.395104,0.2455
30,gen29 samples,149.9538,117.8339,0.156757,8.1689,0.101329,281.8305,0.1399,7.342581,0.2207
31,gen30 samples,150.4677,117.4149,0.157172,8.183791,0.086665,274.6045,0.142524,7.475458,0.2231
32,gen31 samples,151.3051,116.5174,0.157543,8.194931,0.085892,284.5917,0.143145,7.45552,0.1816
33,gen32 samples,157.6882,117.0914,0.156643,8.180778,0.093868,321.311,0.14172,7.38941,0.2425
34,gen33 samples,152.5139,117.1106,0.157792,8.207543,0.089835,290.2711,0.141693,7.420488,0.1975
35,gen34 samples,152.2624,116.7677,0.158948,8.267954,0.092459,304.7905,0.140332,7.363956,0.1954
36,gen35 samples,153.591,116.628,0.156042,8.113255,0.090917,296.1863,0.139577,7.327949,0.1883
37,gen36 samples,147.4516,117.5875,0.157293,8.212658,0.115519,276.5792,0.142652,7.460783,0.2151
38,gen37 samples,156.6348,116.3824,0.156023,8.132908,0.101373,304.2632,0.136857,7.218253,0.1718
39,gen38 samples,154.5255,116.6292,0.156243,8.146169,0.08449,298.9936,0.140732,7.368704,0.1683
