generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,205.0818,105.0576,0.15122,7.890099,0.166254,298.2476,0.135784,7.300765,0.0
1,gen0 samples,191.302,114.9581,0.155336,8.057641,0.141007,340.5221,0.137766,7.202752,0.1722
2,gen1 samples,179.2245,117.2063,0.158659,8.192377,0.083682,312.9984,0.14149,7.348543,0.1931
3,gen2 samples,187.0228,117.2971,0.158093,8.174551,0.081852,321.5002,0.14257,7.380193,0.2318
4,gen3 samples,176.0958,117.2657,0.159929,8.244578,0.082594,301.3994,0.146247,7.548389,0.2376
5,gen4 samples,168.1971,118.1494,0.162114,8.329935,0.102763,289.8836,0.148442,7.634301,0.2708
6,gen5 samples,166.0432,118.7227,0.163113,8.43667,0.094636,276.4311,0.149921,7.780601,0.3044
7,gen6 samples,183.6368,118.3382,0.159859,8.262183,0.08695,310.2575,0.146226,7.579291,0.3172
8,gen7 samples,178.291,118.0414,0.161977,8.351467,0.082768,299.1091,0.148899,7.705369,0.299
9,gen8 samples,185.6868,117.9338,0.161292,8.315704,0.08318,312.6915,0.14885,7.689071,0.3089
10,gen9 samples,173.4558,119.717,0.160854,8.303821,0.153633,302.6481,0.145366,7.524097,0.3145
11,gen10 samples,167.0102,124.1746,0.162598,8.386247,0.07238,283.4559,0.149196,7.709416,0.3221
12,gen11 samples,185.8509,122.4036,0.159985,8.247091,0.080568,315.6731,0.145609,7.531003,0.3074
13,gen12 samples,185.02,121.8979,0.16247,8.39494,0.086538,318.6816,0.149923,7.775538,0.295
14,gen13 samples,183.6105,124.7479,0.162795,8.397514,0.09476,321.1482,0.149898,7.754037,0.3042
15,gen14 samples,184.271,125.1749,0.160884,8.327885,0.0724,312.7238,0.148076,7.687335,0.3074
16,gen15 samples,176.5916,125.5275,0.162279,8.40564,0.076112,296.9872,0.150744,7.848971,0.3084
17,gen16 samples,179.2732,125.6302,0.164029,8.465569,0.07751,300.8618,0.152251,7.884597,0.3278
18,gen17 samples,184.7291,125.578,0.164027,8.488916,0.074601,311.6173,0.15321,7.967197,0.335
19,gen18 samples,184.7405,125.3805,0.161971,8.376634,0.074875,312.0827,0.150087,7.800956,0.3385
20,gen19 samples,184.8327,125.801,0.163348,8.422992,0.076218,316.0168,0.151881,7.855628,0.3536
21,gen20 samples,192.672,123.8906,0.162075,8.37324,0.083671,336.2076,0.149043,7.733698,0.355
22,gen21 samples,189.0668,125.2148,0.160879,8.330409,0.082702,328.2045,0.146472,7.623974,0.3647
23,gen22 samples,188.4707,125.3559,0.163536,8.431919,0.080962,322.2464,0.15162,7.85267,0.3566
24,gen23 samples,196.4429,123.0604,0.160093,8.286296,0.080385,345.1761,0.146282,7.59445,0.3343
25,gen24 samples,190.7106,123.8469,0.161219,8.342109,0.111901,338.2274,0.147559,7.665631,0.3226
26,gen25 samples,196.1717,123.5921,0.161017,8.300981,0.084465,351.6722,0.147829,7.635453,0.341
27,gen26 samples,187.4785,125.0742,0.162723,8.376126,0.07805,334.6696,0.148924,7.691875,0.3339
28,gen27 samples,186.0745,126.1647,0.161445,8.341611,0.069992,325.1103,0.148806,7.700665,0.328
29,gen28 samples,191.8736,125.2477,0.162504,8.388699,0.078964,335.6186,0.150262,7.766408,0.3291
30,gen29 samples,186.842,125.5969,0.162865,8.419867,0.072974,322.8668,0.151047,7.841199,0.3377
31,gen30 samples,186.7277,125.4128,0.163017,8.413594,0.079251,320.3865,0.150546,7.783089,0.3434
32,gen31 samples,196.3572,122.8235,0.16165,8.33012,0.083857,341.4569,0.148526,7.679294,0.3244
33,gen32 samples,194.5004,123.1581,0.160721,8.295398,0.130326,341.4591,0.146752,7.592394,0.3296
34,gen33 samples,192.8267,125.5315,0.162275,8.353167,0.075065,339.8272,0.148399,7.652637,0.3554
35,gen34 samples,193.2376,126.2116,0.162931,8.403298,0.071845,333.6628,0.150895,7.814104,0.3689
36,gen35 samples,192.8955,125.4368,0.162727,8.39199,0.094069,331.4124,0.150882,7.798102,0.3864
37,gen36 samples,192.9923,125.9488,0.163163,8.419974,0.070639,329.671,0.15126,7.833796,0.3628
38,gen37 samples,191.3951,126.8596,0.162777,8.389627,0.075322,329.0599,0.151302,7.807288,0.3565
39,gen38 samples,191.7852,126.6876,0.16491,8.489965,0.072974,324.5299,0.154301,7.943347,0.3735
