generation,source,test_recon,sample_pixel_std,mean_pairwise_l2,latent_std_mean
0,real,0.06238,0.244354,10.241628,0.106037
1,gen0 samples,0.07151,0.239042,10.237482,0.075399
2,gen1 samples,0.079449,0.229223,9.879605,0.072971
3,gen2 samples,0.082238,0.220948,9.5521,0.065185
4,gen3 samples,0.084795,0.222525,9.601527,0.063378
5,gen4 samples,0.0815,0.212644,9.226022,0.06153
6,gen5 samples,0.083142,0.20865,9.138754,0.062155
7,gen6 samples,0.083991,0.209881,9.213366,0.06949
8,gen7 samples,0.08274,0.205432,8.904953,0.052654
9,gen8 samples,0.089258,0.210041,9.201062,0.051586
10,gen9 samples,0.086625,0.203646,9.014486,0.058733
11,gen10 samples,0.091822,0.205308,9.121138,0.05729
12,gen11 samples,0.107294,0.211058,9.363914,0.053738
13,gen12 samples,0.090576,0.206177,9.122166,0.046163
14,gen13 samples,0.090681,0.197814,8.865119,0.054595
15,gen14 samples,0.091578,0.195896,8.769902,0.056241
16,gen15 samples,0.088532,0.196278,8.755572,0.04893
17,gen16 samples,0.088121,0.193381,8.649244,0.054265
18,gen17 samples,0.087751,0.190096,8.561234,0.060795
19,gen18 samples,0.087159,0.185793,8.371229,0.052333
20,gen19 samples,0.087428,0.192879,8.53067,0.047584
21,gen20 samples,0.09021,0.200652,8.831003,0.056787
22,gen21 samples,0.087428,0.201335,8.953404,0.042961
23,gen22 samples,0.089424,0.186154,8.339931,0.04851
24,gen23 samples,0.086837,0.192511,8.62657,0.039597
25,gen24 samples,0.089068,0.185741,8.401671,0.05223
26,gen25 samples,0.088439,0.194504,8.68969,0.053359
27,gen26 samples,0.089079,0.187984,8.474777,0.046496
28,gen27 samples,0.089394,0.187318,8.506367,0.051195
29,gen28 samples,0.088451,0.179109,8.074054,0.049492
30,gen29 samples,0.08796,0.17827,8.10218,0.047382
31,gen30 samples,0.089567,0.178794,8.159201,0.051729
32,gen31 samples,0.088531,0.180585,8.167494,0.049476
33,gen32 samples,0.08875,0.170964,7.7025,0.04249
34,gen33 samples,0.087805,0.174092,7.913802,0.044877
35,gen34 samples,0.090686,0.170382,7.707795,0.043719
36,gen35 samples,0.089821,0.168643,7.685239,0.043386
37,gen36 samples,0.091918,0.17111,7.64481,0.03882
38,gen37 samples,0.089793,0.160036,7.354669,0.045627
39,gen38 samples,0.091315,0.162293,7.424263,0.047107
40,gen39 samples,0.090747,0.164082,7.412462,0.044021
41,gen40 samples,0.089514,0.156281,7.191027,0.048512
42,gen41 samples,0.090709,0.159114,7.264872,0.038594
43,gen42 samples,0.089823,0.156183,7.087707,0.044135
44,gen43 samples,0.091961,0.155954,7.144652,0.039573
45,gen44 samples,0.090963,0.152729,6.877389,0.03516
46,gen45 samples,0.094194,0.156258,7.064326,0.03606
47,gen46 samples,0.091582,0.154451,6.999903,0.04251
48,gen47 samples,0.091452,0.153989,6.936522,0.042009
49,gen48 samples,0.0917,0.15586,6.980627,0.035587
50,gen49 samples,0.090644,0.153164,6.861025,0.034304
51,gen50 samples,0.093107,0.151893,6.905853,0.03738
52,gen51 samples,0.091734,0.15648,7.015442,0.03723
53,gen52 samples,0.092293,0.153038,6.927717,0.034508
54,gen53 samples,0.092606,0.159286,7.096589,0.036893
55,gen54 samples,0.091936,0.155553,7.008786,0.038034
56,gen55 samples,0.093763,0.164766,7.267469,0.030929
57,gen56 samples,0.092474,0.161557,7.238624,0.034651
58,gen57 samples,0.092295,0.15703,7.067765,0.037216
59,gen58 samples,0.09458,0.15544,7.057878,0.040527
60,gen59 samples,0.093065,0.156685,7.078925,0.038919
61,gen60 samples,0.095013,0.16231,7.253475,0.043191
62,gen61 samples,0.093281,0.165834,7.422528,0.041651
63,gen62 samples,0.100169,0.177981,7.958888,0.036734
64,gen63 samples,0.094689,0.185687,8.191313,0.038104
65,gen64 samples,0.089708,0.185484,8.409184,0.052621
66,gen65 samples,0.091242,0.18202,8.222234,0.050824
67,gen66 samples,0.091843,0.180277,8.107115,0.043467
68,gen67 samples,0.097203,0.200284,8.775827,0.043758
69,gen68 samples,0.095469,0.20707,9.220542,0.049937
70,gen69 samples,0.091047,0.198778,8.983839,0.072247
71,gen70 samples,0.092421,0.196188,8.856155,0.057926
72,gen71 samples,0.103797,0.211115,9.379679,0.055688
73,gen72 samples,0.096259,0.223089,10.006809,0.061057
