generation,source,test_recon,sample_pixel_std,mean_pairwise_l2,latent_std_mean,raw_pixel_std,raw_pairwise_l2
0,real,0.061478,0.247405,10.341613,0.113986,0.247405,10.341613
1,gen0 samples,0.07108,0.242439,10.194996,0.089072,0.242439,10.194996
2,gen1 samples,0.07144,0.232601,9.777575,0.077053,0.232601,9.777575
3,gen2 samples,0.074435,0.229945,9.723295,0.086202,0.229945,9.723295
4,gen3 samples,0.079824,0.230709,9.662969,0.074143,0.230709,9.662969
5,gen4 samples,0.079544,0.246573,10.255463,0.049956,0.246573,10.255463
6,gen5 samples,0.081584,0.26994,11.268731,0.054353,0.26994,11.268731
7,gen6 samples,0.081168,0.261206,10.944523,0.073241,0.261206,10.944523
8,gen7 samples,0.085586,0.25161,10.634365,0.065466,0.25161,10.634365
9,gen8 samples,0.082881,0.251581,10.603707,0.065786,0.251581,10.603707
10,gen9 samples,0.085103,0.253639,10.675827,0.060481,0.253639,10.675827
11,gen10 samples,0.085888,0.244761,10.269977,0.070215,0.244761,10.269977
12,gen11 samples,0.096788,0.261723,10.962441,0.058802,0.261723,10.962441
13,gen12 samples,0.087926,0.266454,11.263004,0.0561,0.266454,11.263004
14,gen13 samples,0.08772,0.264735,11.278372,0.071289,0.264735,11.278372
15,gen14 samples,0.09511,0.255418,10.773355,0.0725,0.255418,10.773355
16,gen15 samples,0.091532,0.263684,11.245987,0.087969,0.263684,11.245987
17,gen16 samples,0.098921,0.258059,10.902667,0.079221,0.258059,10.902667
18,gen17 samples,0.08949,0.261114,11.122789,0.068954,0.261114,11.122789
19,gen18 samples,0.092215,0.264729,11.254893,0.063995,0.264729,11.254893
20,gen19 samples,0.094879,0.273318,11.612566,0.069824,0.273318,11.612566
21,gen20 samples,0.093254,0.276854,11.66794,0.061559,0.276854,11.66794
22,gen21 samples,0.092908,0.285304,12.105048,0.072996,0.285304,12.105048
23,gen22 samples,0.092159,0.271848,11.523738,0.088861,0.271848,11.523738
24,gen23 samples,0.10169,0.269191,11.394111,0.068688,0.269191,11.394111
25,gen24 samples,0.096233,0.26899,11.478275,0.07429,0.26899,11.478275
26,gen25 samples,0.104427,0.266585,11.391516,0.088222,0.266585,11.391516
27,gen26 samples,0.091943,0.258485,11.064688,0.08866,0.258485,11.064688
28,gen27 samples,0.092184,0.261834,11.052339,0.067762,0.261834,11.052339
29,gen28 samples,0.094543,0.260308,11.135605,0.073347,0.260308,11.135605
30,gen29 samples,0.092888,0.257908,11.02771,0.065909,0.257908,11.02771
31,gen30 samples,0.0904,0.251644,10.730065,0.055679,0.251644,10.730065
32,gen31 samples,0.093993,0.251766,10.712192,0.06262,0.251766,10.712192
33,gen32 samples,0.096132,0.248517,10.667237,0.066484,0.248517,10.667237
34,gen33 samples,0.097143,0.243674,10.472331,0.072001,0.243674,10.472331
35,gen34 samples,0.093978,0.244256,10.51089,0.07026,0.244256,10.51089
36,gen35 samples,0.090876,0.245629,10.489592,0.06164,0.245629,10.489592
37,gen36 samples,0.090952,0.246048,10.588427,0.062434,0.246048,10.588427
38,gen37 samples,0.091484,0.243562,10.453406,0.056318,0.243562,10.453406
39,gen38 samples,0.092484,0.239573,10.316077,0.050239,0.239573,10.316077
40,gen39 samples,0.092236,0.234166,10.109684,0.054259,0.234166,10.109684
41,gen40 samples,0.09512,0.232056,10.052927,0.063454,0.232056,10.052927
42,gen41 samples,0.093859,0.23298,9.958323,0.055804,0.23298,9.958323
43,gen42 samples,0.096144,0.236487,10.157012,0.074174,0.236487,10.157012
44,gen43 samples,0.093768,0.228362,9.855023,0.065277,0.228362,9.855023
45,gen44 samples,0.095534,0.227047,9.738916,0.059742,0.227047,9.738916
46,gen45 samples,0.095648,0.223153,9.62648,0.077438,0.223153,9.62648
47,gen46 samples,0.098707,0.2224,9.638609,0.064067,0.2224,9.638609
48,gen47 samples,0.096398,0.225068,9.670358,0.060004,0.225068,9.670358
49,gen48 samples,0.096459,0.230709,9.922895,0.050215,0.230709,9.922895
