generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,3.2617,6365.1164,0.203314,31.846258,0.661072,3.2617,0.203314,31.846258,0.0
1,gen0 samples,7.081,6397.2374,0.181813,28.515738,0.539978,7.081,0.181813,28.515738,0.0252
2,gen1 samples,9.7988,6419.2537,0.169857,26.613182,0.492414,9.7988,0.169857,26.613182,0.0395
3,gen2 samples,12.7073,6438.532,0.159161,24.959919,0.478927,12.7073,0.159161,24.959919,0.0516
4,gen3 samples,15.2684,6463.2993,0.150051,23.525324,0.434794,15.2684,0.150051,23.525324,0.0612
5,gen4 samples,17.2041,6477.3673,0.14303,22.423351,0.401226,17.2041,0.14303,22.423351,0.0691
6,gen5 samples,19.0323,6492.4462,0.135016,21.178154,0.384616,19.0323,0.135016,21.178154,0.0756
7,gen6 samples,20.468,6510.3864,0.129634,20.342758,0.36709,20.468,0.129634,20.342758,0.0814
8,gen7 samples,21.9287,6523.1718,0.123681,19.430841,0.352219,21.9287,0.123681,19.430841,0.0883
9,gen8 samples,23.1172,6538.1018,0.11734,18.444733,0.322672,23.1172,0.11734,18.444733,0.0932
10,gen9 samples,24.1542,6547.4354,0.113216,17.787533,0.347557,24.1542,0.113216,17.787533,0.0977
11,gen10 samples,25.2572,6561.383,0.107016,16.800806,0.361282,25.2572,0.107016,16.800806,0.1023
12,gen11 samples,26.4308,6582.4469,0.103052,16.193653,0.328799,26.4308,0.103052,16.193653,0.1072
13,gen12 samples,27.5765,6594.7152,0.096825,15.221387,0.278973,27.5765,0.096825,15.221387,0.1118
14,gen13 samples,28.493,6620.4292,0.091199,14.34464,0.327487,28.493,0.091199,14.34464,0.116
15,gen14 samples,29.2887,6636.0487,0.08795,13.816462,0.292241,29.2887,0.08795,13.816462,0.1197
16,gen15 samples,30.0532,6644.5575,0.083481,13.128143,0.256118,30.0532,0.083481,13.128143,0.1234
17,gen16 samples,30.8881,6656.5538,0.077967,12.273222,0.255371,30.8881,0.077967,12.273222,0.1274
18,gen17 samples,31.6782,6657.1146,0.075278,11.858129,0.253057,31.6782,0.075278,11.858129,0.1312
19,gen18 samples,32.4846,6687.1192,0.070031,11.011458,0.25178,32.4846,0.070031,11.011458,0.1354
20,gen19 samples,33.2929,6716.5535,0.064894,10.2181,0.250136,33.2929,0.064894,10.2181,0.1399
21,gen20 samples,34.1686,6719.2651,0.060623,9.543176,0.247506,34.1686,0.060623,9.543176,0.1446
22,gen21 samples,35.2232,6735.4665,0.054418,8.55988,0.245217,35.2232,0.054418,8.55988,0.1499
23,gen22 samples,36.5046,6751.3045,0.04769,7.510512,0.238894,36.5046,0.04769,7.510512,0.1558
24,gen23 samples,37.9962,6862.6861,0.039751,6.263985,0.246511,37.9962,0.039751,6.263985,0.1629
25,gen24 samples,40.0912,7180.7212,0.029456,4.638697,0.26587,40.0912,0.029456,4.638697,0.1721
26,gen25 samples,46.0913,8042.8007,0.00547,0.885062,0.096114,46.0913,0.00547,0.885062,0.1947
27,gen26 samples,47.105,8126.8273,0.000737,0.116691,0.000538,47.105,0.000737,0.116691,0.1993
28,gen27 samples,47.1104,8126.7971,0.000799,0.12601,5.8e-05,47.1104,0.000799,0.12601,0.1993
29,gen28 samples,47.1313,8126.9843,0.00058,0.09107,3.3e-05,47.1313,0.00058,0.09107,0.1995
30,gen29 samples,47.1341,8126.9667,0.000545,0.085766,9e-06,47.1341,0.000545,0.085766,0.1995
31,gen30 samples,47.1055,8126.7089,0.000921,0.144847,1.8e-05,47.1055,0.000921,0.144847,0.1993
32,gen31 samples,47.0976,8127.104,0.000874,0.137558,6e-05,47.0976,0.000874,0.137558,0.1993
33,gen32 samples,47.1304,8126.9606,0.000619,0.097303,2.3e-05,47.1304,0.000619,0.097303,0.1994
34,gen33 samples,47.0289,20741.6362,0.001765,0.279476,0.000209,47.0289,0.001765,0.279476,0.1988
35,gen34 samples,47.1085,8127.5567,0.00091,0.143153,0.000177,47.1085,0.00091,0.143153,0.1993
