generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,3.856,6371.4864,0.180132,28.270943,0.65723,3.046,0.205117,32.132797,0.0
1,gen0 samples,3.9928,6451.0906,0.17771,28.085566,0.398154,7.2555,0.15955,25.135159,0.0458
2,gen1 samples,3.8837,6486.5933,0.181486,28.584747,0.378275,7.9038,0.157183,24.821554,0.0489
3,gen2 samples,3.8082,6470.4652,0.184241,28.972313,0.34847,7.2598,0.162341,25.490913,0.0459
4,gen3 samples,3.9186,6475.8662,0.179634,28.221655,0.354266,7.3866,0.157464,24.796146,0.0482
5,gen4 samples,4.0308,6462.858,0.178551,28.087013,0.358856,8.0441,0.152586,24.081888,0.0521
6,gen5 samples,3.8928,6468.5876,0.181587,28.445061,0.351323,7.5785,0.158193,24.802856,0.0475
7,gen6 samples,3.9231,6471.9001,0.182549,28.730053,0.335381,7.5772,0.157757,24.881058,0.0484
8,gen7 samples,3.9185,6460.9645,0.184864,29.115969,0.341355,7.3386,0.159632,25.143002,0.047
9,gen8 samples,3.9396,6461.5263,0.179702,28.271927,0.353446,7.3738,0.158512,24.888922,0.0464
10,gen9 samples,3.86,6485.732,0.182895,28.7115,0.373435,7.5508,0.15825,24.834702,0.0468
11,gen10 samples,3.8569,6478.1025,0.183083,28.821907,0.32237,7.4574,0.159403,25.073332,0.0478
12,gen11 samples,3.928,6468.883,0.180409,28.396217,0.339469,7.7471,0.157206,24.689026,0.0482
13,gen12 samples,4.0613,6470.585,0.177875,28.069809,0.364065,8.2121,0.155975,24.592316,0.0505
14,gen13 samples,3.9322,6465.3196,0.182484,28.613342,0.361872,7.8369,0.158822,24.827671,0.049
15,gen14 samples,3.874,6468.794,0.183911,28.880215,0.349238,7.6231,0.16044,25.079382,0.0474
16,gen15 samples,3.9065,6469.4641,0.182829,28.636038,0.349658,7.6249,0.15894,24.975943,0.0475
17,gen16 samples,3.8815,6465.9038,0.182397,28.625643,0.348886,7.3796,0.15569,24.504435,0.0479
18,gen17 samples,3.9128,6470.4965,0.184022,28.895447,0.363763,7.5523,0.160947,25.147516,0.0471
19,gen18 samples,3.9131,6464.8416,0.182424,28.6166,0.353996,7.3421,0.155098,24.331808,0.0476
20,gen19 samples,3.9339,6466.6905,0.181796,28.558411,0.362145,7.4723,0.156334,24.639652,0.0493
21,gen20 samples,3.9686,6467.3969,0.183626,28.846165,0.343976,7.3516,0.156752,24.632561,0.0477
22,gen21 samples,3.9052,6478.0112,0.184588,29.010662,0.359261,7.8744,0.159529,25.090155,0.0506
