generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,134.6094,236.926,0.220984,9.0489,0.127279,134.6094,0.220984,9.0489,0.0
1,gen0 samples,189.8674,242.9988,0.205126,8.313663,0.138817,189.8674,0.205126,8.313663,0.2165
2,gen1 samples,226.3808,248.0084,0.191058,7.722792,0.056856,226.3808,0.191058,7.722792,0.3394
3,gen2 samples,254.3895,250.5029,0.180552,7.323394,0.053884,254.3895,0.180552,7.323394,0.4248
4,gen3 samples,280.1333,251.8164,0.171075,6.947183,0.053658,280.1333,0.171075,6.947183,0.5005
5,gen4 samples,305.7775,253.8273,0.170178,6.857679,0.055451,305.7775,0.170178,6.857679,0.5747
6,gen5 samples,336.3764,257.0019,0.158681,6.394908,0.115928,336.3764,0.158681,6.394908,0.65
7,gen6 samples,359.7072,264.9716,0.156463,6.285149,0.039552,359.7072,0.156463,6.285149,0.7091
8,gen7 samples,375.6014,268.6021,0.146162,5.867687,0.039201,375.6014,0.146162,5.867687,0.7544
9,gen8 samples,393.5112,270.4191,0.145787,5.816653,0.038259,393.5112,0.145787,5.816653,0.8003
10,gen9 samples,409.3261,273.0451,0.138764,5.564105,0.038374,409.3261,0.138764,5.564105,0.8414
11,gen10 samples,425.2464,275.0771,0.127964,5.148009,0.038239,425.2464,0.127964,5.148009,0.8802
12,gen11 samples,440.1455,277.1428,0.129107,5.157865,0.038375,440.1455,0.129107,5.157865,0.9175
13,gen12 samples,454.4654,280.4169,0.128152,5.132231,0.038477,454.4654,0.128152,5.132231,0.9537
14,gen13 samples,468.3049,282.9455,0.119303,4.790296,0.037867,468.3049,0.119303,4.790296,0.9871
15,gen14 samples,481.1693,287.8927,0.111759,4.469869,0.041597,481.1693,0.111759,4.469869,1.0182
16,gen15 samples,504.7352,293.8192,0.108609,4.31829,0.100444,504.7352,0.108609,4.31829,1.0663
17,gen16 samples,523.3098,305.6963,0.101108,4.007654,0.02573,523.3098,0.101108,4.007654,1.1032
18,gen17 samples,531.0447,332.4384,0.09542,3.756316,0.025206,531.0447,0.09542,3.756316,1.1239
19,gen18 samples,537.7742,340.9873,0.09514,3.762917,0.025146,537.7742,0.09514,3.762917,1.1419
20,gen19 samples,543.941,342.5849,0.090237,3.577458,0.025023,543.941,0.090237,3.577458,1.1587
21,gen20 samples,549.7714,345.0792,0.085865,3.400002,0.024747,549.7714,0.085865,3.400002,1.1739
22,gen21 samples,555.916,352.1406,0.083868,3.307525,0.024702,555.916,0.083868,3.307525,1.189
23,gen22 samples,562.9385,350.9205,0.080643,3.187429,0.024721,562.9385,0.080643,3.187429,1.2063
24,gen23 samples,567.1005,358.4651,0.078903,3.107764,0.024415,567.1005,0.078903,3.107764,1.2163
25,gen24 samples,573.3988,359.757,0.073701,2.902823,0.024583,573.3988,0.073701,2.902823,1.2317
26,gen25 samples,579.6859,361.4509,0.069246,2.734114,0.024561,579.6859,0.069246,2.734114,1.2474
27,gen26 samples,586.3529,362.334,0.066808,2.634805,0.024321,586.3529,0.066808,2.634805,1.264
28,gen27 samples,592.491,370.6989,0.06377,2.513368,0.024375,592.491,0.06377,2.513368,1.2807
29,gen28 samples,599.3278,361.4054,0.056116,2.20185,0.024195,599.3278,0.056116,2.20185,1.2981
30,gen29 samples,605.7545,368.0644,0.052234,2.050437,0.024519,605.7545,0.052234,2.050437,1.3161
31,gen30 samples,612.634,372.8977,0.050788,1.985265,0.024219,612.634,0.050788,1.985265,1.3349
32,gen31 samples,619.8646,386.9961,0.04526,1.750131,0.025471,619.8646,0.04526,1.750131,1.3559
33,gen32 samples,636.2079,387.6663,0.037736,1.431803,0.074645,636.2079,0.037736,1.431803,1.4036
34,gen33 samples,651.0254,394.1204,0.029766,1.099153,0.011998,651.0254,0.029766,1.099153,1.4395
35,gen34 samples,654.0891,587.5194,0.024813,0.910804,0.01204,654.0891,0.024813,0.910804,1.4489
36,gen35 samples,662.0251,414.9241,0.014106,0.520786,0.0484,662.0251,0.014106,0.520786,1.473
37,gen36 samples,670.2174,398.8628,0.001772,0.070544,0.000408,670.2174,0.001772,0.070544,1.4977
38,gen37 samples,670.4419,398.8987,0.00149,0.060221,4.2e-05,670.4419,0.00149,0.060221,1.4986
39,gen38 samples,670.4813,398.881,0.001403,0.057194,3.5e-05,670.4813,0.001403,0.057194,1.4992
40,gen39 samples,670.4889,398.8725,0.001368,0.055847,2.9e-05,670.4889,0.001368,0.055847,1.4993
41,gen40 samples,670.566,398.8845,0.001345,0.055139,3.2e-05,670.566,0.001345,0.055139,1.4994
42,gen41 samples,670.5665,398.8941,0.001336,0.054666,2.9e-05,670.5665,0.001336,0.054666,1.4993
43,gen42 samples,670.6019,398.885,0.001355,0.055376,2.7e-05,670.6019,0.001355,0.055376,1.4995
44,gen43 samples,670.6383,398.8769,0.0013,0.05366,3.4e-05,670.6383,0.0013,0.05366,1.4999
45,gen44 samples,670.6022,398.8752,0.001311,0.053942,2.4e-05,670.6022,0.001311,0.053942,1.4996
46,gen45 samples,670.5715,398.8725,0.00132,0.054544,2.7e-05,670.5715,0.00132,0.054544,1.4997
47,gen46 samples,670.5473,398.8629,0.001344,0.055218,2.3e-05,670.5473,0.001344,0.055218,1.4995
48,gen47 samples,670.465,398.862,0.00139,0.056883,3e-05,670.465,0.00139,0.056883,1.4991
49,gen48 samples,670.5386,398.8593,0.001331,0.054797,3.1e-05,670.5386,0.001331,0.054797,1.4995
