generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2,w_from_gen0
0,real,79.4996,236.926,0.242709,9.949369,0.127279,134.6094,0.220984,9.0489,0.0
1,gen0 samples,79.4716,243.8078,0.246171,10.112093,0.07407,139.5113,0.217995,8.905271,0.1617
2,gen1 samples,79.073,245.03,0.245103,10.081926,0.110173,144.2909,0.213987,8.76655,0.1647
3,gen2 samples,78.7598,246.2716,0.245561,10.094785,0.06074,144.8599,0.21959,8.945562,0.1269
4,gen3 samples,79.2068,246.4155,0.244097,10.033327,0.065667,144.9107,0.224707,9.149062,0.1814
5,gen4 samples,78.2284,244.3041,0.244041,10.044031,0.069523,141.5819,0.227971,9.246841,0.1613
6,gen5 samples,79.607,246.82,0.246728,10.103139,0.076498,147.2405,0.225707,9.160295,0.1489
7,gen6 samples,81.1175,246.6354,0.244114,10.030408,0.066534,153.6392,0.220341,8.931974,0.2152
8,gen7 samples,80.1884,246.6056,0.247425,10.131371,0.060282,146.3706,0.226355,9.155255,0.1775
9,gen8 samples,79.7501,246.5994,0.245377,10.079176,0.059132,146.5443,0.225778,9.148088,0.1701
10,gen9 samples,79.3047,246.6452,0.246311,10.101539,0.061051,144.6254,0.223607,9.05357,0.1781
11,gen10 samples,79.5649,246.6316,0.24266,9.981465,0.060868,143.6619,0.224466,9.08901,0.1851
12,gen11 samples,80.4459,246.3827,0.245796,10.064811,0.059461,147.5535,0.219353,8.916822,0.1842
13,gen12 samples,79.8254,246.529,0.245926,10.116037,0.06239,143.6223,0.229492,9.34449,0.1682
14,gen13 samples,80.0776,246.6516,0.246388,10.110263,0.058915,144.9338,0.223025,9.05983,0.2043
15,gen14 samples,79.1768,244.208,0.246952,10.133332,0.070216,139.3293,0.222828,9.033033,0.16
16,gen15 samples,78.412,244.2046,0.24706,10.120402,0.072744,139.8675,0.220104,8.902797,0.1324
17,gen16 samples,79.7581,245.101,0.245971,10.076643,0.124367,151.0693,0.219168,8.867436,0.1773
18,gen17 samples,78.8206,246.1611,0.247026,10.131654,0.064213,141.5051,0.22583,9.17581,0.1708
19,gen18 samples,78.7934,246.4195,0.243994,10.011847,0.060319,140.9317,0.232031,9.305621,0.1372
20,gen19 samples,78.1793,246.3132,0.245784,10.111574,0.074023,143.7764,0.222674,9.074812,0.1228
21,gen20 samples,79.6326,246.5044,0.245629,10.055647,0.06387,145.3133,0.229929,9.227906,0.1498
22,gen21 samples,79.1357,246.4835,0.246006,10.090096,0.061706,143.7078,0.219009,8.881065,0.1919
23,gen22 samples,79.4943,244.1688,0.24473,10.049788,0.070544,142.521,0.217411,8.79626,0.1761
24,gen23 samples,80.3386,246.4745,0.245268,10.084217,0.060901,147.3826,0.222704,9.057712,0.2068
25,gen24 samples,80.0634,246.3368,0.244384,10.050831,0.060518,144.2803,0.219598,8.971627,0.1894
26,gen25 samples,78.5511,244.8585,0.245252,10.095257,0.069098,143.0972,0.22396,9.133656,0.1955
27,gen26 samples,80.1571,246.3698,0.241934,9.960072,0.065428,150.8669,0.219728,8.903806,0.1907
28,gen27 samples,78.376,246.278,0.247046,10.144483,0.059794,142.9559,0.225277,9.12289,0.1255
29,gen28 samples,79.8208,245.5958,0.242023,9.970288,0.090538,143.494,0.220797,8.929466,0.1581
30,gen29 samples,79.8481,246.2205,0.244934,10.058995,0.061101,143.967,0.219631,8.871687,0.1452
31,gen30 samples,80.0811,245.9187,0.244492,10.031985,0.092763,148.0929,0.224114,9.073562,0.1849
32,gen31 samples,79.1674,246.0139,0.244157,10.026641,0.088467,146.9778,0.220554,8.931837,0.1806
33,gen32 samples,79.625,246.5408,0.245788,10.077733,0.063552,144.3845,0.223338,9.09057,0.1736
34,gen33 samples,78.8223,245.3469,0.245911,10.123088,0.075457,146.7741,0.216436,8.788061,0.1478
35,gen34 samples,80.064,246.0533,0.246611,10.129566,0.072388,146.5573,0.221616,8.962645,0.1566
36,gen35 samples,79.2275,245.9683,0.244434,10.073458,0.069114,142.6347,0.225054,9.135595,0.1541
37,gen36 samples,79.3738,246.5504,0.245885,10.081868,0.059921,146.041,0.225037,9.12622,0.1452
38,gen37 samples,78.6343,246.0577,0.248385,10.173897,0.060735,140.1534,0.228331,9.240871,0.1496
39,gen38 samples,79.6333,246.4101,0.243926,10.022721,0.076534,148.3686,0.223045,9.031031,0.1833
40,gen39 samples,77.6482,245.612,0.244205,10.042562,0.095362,141.1433,0.220363,8.948469,0.1291
41,gen40 samples,79.2223,246.236,0.244574,10.039397,0.059334,143.0571,0.223904,9.116066,0.1722
42,gen41 samples,80.4917,245.8924,0.243513,9.992415,0.09586,146.1232,0.218736,8.88789,0.1939
43,gen42 samples,78.683,246.1245,0.247252,10.133815,0.084293,146.1582,0.227484,9.240614,0.1888
44,gen43 samples,80.3295,246.2594,0.247434,10.181134,0.066712,148.7433,0.225622,9.15344,0.213
45,gen44 samples,80.2534,244.9221,0.243759,10.031434,0.069615,144.2686,0.22033,8.961817,0.1828
46,gen45 samples,78.4298,244.3909,0.24759,10.156184,0.069476,137.9901,0.228349,9.296579,0.1569
47,gen46 samples,78.5044,245.0688,0.24468,10.071307,0.121335,147.4147,0.220509,8.995962,0.1619
48,gen47 samples,80.6179,246.4676,0.243642,10.019034,0.062056,146.9332,0.21767,8.850517,0.1472
49,gen48 samples,79.7154,246.7389,0.246859,10.122322,0.060809,148.4596,0.225364,9.124726,0.1853
