generation,source,test_recon,sample_pixel_std,mean_pairwise_l2,latent_std_mean,raw_pixel_std,raw_pairwise_l2
0,real,0.061478,0.242629,10.190914,0.113986,0.247405,10.341613
1,gen0 samples,0.071186,0.2245,9.515985,0.081835,0.22875,9.662151
2,gen1 samples,0.071876,0.216165,9.278402,0.076065,0.215529,9.292846
3,gen2 samples,0.075642,0.231912,9.733595,0.053059,0.23513,10.009005
4,gen3 samples,0.086053,0.189052,8.457947,0.072085,0.186972,8.643776
5,gen4 samples,0.086629,0.19734,8.24965,0.032664,0.199969,8.642419
6,gen5 samples,0.266356,0.050203,1.191469,0.821251,0.001122,0.024536
7,gen6 samples,0.266762,0.048598,1.070786,0.506017,0.000483,0.003134
8,gen7 samples,0.266762,0.049142,1.13149,0.130672,0.001122,0.007763
9,gen8 samples,0.266762,0.049861,1.155229,0.298002,0.00039,0.001914
10,gen9 samples,0.266762,0.048856,1.109506,0.518805,0.000284,0.001866
11,gen10 samples,0.266762,0.051316,1.223149,0.585972,0.000401,0.002016
12,gen11 samples,0.266762,0.050765,1.19952,0.647265,0.000529,0.003268
13,gen12 samples,0.266762,0.054559,1.379564,0.271904,0.000375,0.002739
14,gen13 samples,0.266762,0.046314,0.978246,0.464075,0.000332,0.001494
15,gen14 samples,0.266762,0.050012,1.172478,0.35861,0.000816,0.004476
16,gen15 samples,0.266762,0.055664,1.433263,0.351816,0.002391,0.020751
17,gen16 samples,0.266762,0.049398,1.117098,0.546063,0.000314,0.002185
18,gen17 samples,0.266762,0.056132,1.462279,0.128495,0.000316,0.001261
19,gen18 samples,0.266762,0.056031,1.446056,0.583493,0.000295,0.001372
20,gen19 samples,0.266762,0.056144,1.46244,0.482215,0.000262,0.000877
21,gen20 samples,0.266762,0.049868,1.1569,0.599578,0.000816,0.004496
