generation,source,test_recon,sample_pixel_std,mean_pairwise_l2,latent_std_mean,raw_pixel_std,raw_pairwise_l2
0,real,0.086813,0.209932,8.572001,0.0827,0.263516,10.926669
1,gen0 samples,0.117188,0.176732,7.555387,0.032688,0.199816,8.776606
2,gen1 samples,0.104837,0.167795,7.111924,0.030026,0.194974,8.154128
3,gen2 samples,0.262903,0.054131,2.310641,0.180882,0.007718,0.149484
4,gen3 samples,0.266762,0.050334,2.217077,0.285927,0.001692,0.010026
5,gen4 samples,0.266762,0.049661,2.196407,0.386151,0.000254,0.000835
6,gen5 samples,0.266762,0.049955,2.209119,0.299894,0.000774,0.005047
7,gen6 samples,0.266762,0.049927,2.203759,0.294852,0.001997,0.012178
8,gen7 samples,0.266762,0.049652,2.197206,0.191498,0.000797,0.002763
9,gen8 samples,0.266762,0.049761,2.200905,0.291971,0.000795,0.004481
10,gen9 samples,0.266762,0.049909,2.204492,0.302,0.000712,0.002514
11,gen10 samples,0.266762,0.049602,2.19045,0.397137,0.000957,0.002857
12,gen11 samples,0.266762,0.049901,2.196383,0.429563,0.001013,0.002944
13,gen12 samples,0.266762,0.049707,2.198889,0.272438,0.000462,0.002108
14,gen13 samples,0.266762,0.049667,2.197283,0.198487,0.000964,0.003759
15,gen14 samples,0.266762,0.050361,2.210598,0.314121,0.001729,0.0073
16,gen15 samples,0.266762,0.049808,2.202796,0.344393,0.002292,0.012111
17,gen16 samples,0.266762,0.049747,2.200272,0.32553,0.000459,0.00271
18,gen17 samples,0.266762,0.049713,2.197909,0.295589,0.000556,0.00219
19,gen18 samples,0.266762,0.049916,2.20477,0.331673,0.000676,0.002602
20,gen19 samples,0.266762,0.049805,2.203016,0.272547,0.000636,0.003625
21,gen20 samples,0.266762,0.049673,2.193567,0.621792,0.000186,0.000716
22,gen21 samples,0.266762,0.049647,2.196658,0.589479,0.000654,0.002488
23,gen22 samples,0.266762,0.049628,2.189817,0.373144,0.000242,0.00113
24,gen23 samples,0.266762,0.049745,2.199311,0.201844,0.000232,0.001067
25,gen24 samples,0.266762,0.049847,2.202391,0.277703,0.000651,0.002403
26,gen25 samples,0.266762,0.049601,2.194217,0.303323,0.001152,0.004332
27,gen26 samples,0.266762,0.049648,2.197198,0.274461,0.000375,0.001917
28,gen27 samples,0.266762,0.049657,2.193429,0.327763,0.000761,0.002892
29,gen28 samples,0.266762,0.04967,2.196797,0.261474,0.000621,0.002853
30,gen29 samples,0.266762,0.049826,2.205533,0.301641,0.000487,0.003232
31,gen30 samples,0.266762,0.049737,2.201586,0.317979,0.001151,0.005798
32,gen31 samples,0.266762,0.049665,2.196661,0.225991,0.001194,0.005512
33,gen32 samples,0.266762,0.049831,2.199501,0.19627,0.000827,0.004167
34,gen33 samples,0.266762,0.049975,2.204996,0.360905,0.002097,0.011943
35,gen34 samples,0.266762,0.049862,2.204936,0.684938,0.001083,0.005602
36,gen35 samples,0.266762,0.04974,2.199561,0.736916,1.8e-05,0.000109
37,gen36 samples,0.266762,0.049783,2.198164,0.281956,0.000617,0.002484
38,gen37 samples,0.266762,0.0497,2.19888,0.241795,0.000623,0.003064
39,gen38 samples,0.266762,0.04974,2.201951,0.207427,0.001227,0.005885
40,gen39 samples,0.266762,0.049997,2.203405,0.287577,0.001348,0.00675
41,gen40 samples,0.266762,0.049943,2.206745,0.225662,0.000914,0.005154
42,gen41 samples,0.266762,0.04957,2.188163,0.318252,0.001091,0.003591
43,gen42 samples,0.266762,0.049871,2.203648,0.198012,0.000855,0.003168
44,gen43 samples,0.266762,0.050009,2.205525,0.261924,0.0009,0.003804
45,gen44 samples,0.266762,0.049674,2.197527,0.373353,0.000242,0.000971
46,gen45 samples,0.266762,0.049665,2.197543,0.286641,0.001113,0.005326
47,gen46 samples,0.266762,0.050372,2.218975,0.29188,0.001438,0.008156
48,gen47 samples,0.266762,0.049648,2.193055,0.41432,0.000135,0.000569
49,gen48 samples,0.266762,0.049778,2.202204,0.351299,0.0002,0.001157
50,gen49 samples,0.266762,0.050601,2.217029,0.362103,0.00193,0.009159
51,gen50 samples,0.266762,0.04964,2.191556,0.252791,0.000449,0.001659
52,gen51 samples,0.266762,0.050123,2.213451,0.277952,0.000982,0.005512
53,gen52 samples,0.266762,0.050354,2.213116,0.280195,0.00145,0.006665
54,gen53 samples,0.266762,0.050223,2.20864,0.383209,0.001518,0.007351
55,gen54 samples,0.266762,0.049648,2.193259,0.328262,9.2e-05,0.000422
56,gen55 samples,0.266762,0.050528,2.218118,0.214112,0.001893,0.010675
57,gen56 samples,0.266762,0.049919,2.206279,0.326388,0.000827,0.004433
58,gen57 samples,0.266762,0.050083,2.204401,0.667469,0.001154,0.003633
59,gen58 samples,0.266762,0.049663,2.196992,0.300851,0.001513,0.005207
