generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean
0,real,226.4743,98.4314,0.141543,7.696871,0.141999
1,gen0 samples,336.7608,107.3626,0.133701,7.195333,0.097401
2,gen1 samples,422.6809,113.4764,0.122774,6.665679,0.130328
3,gen2 samples,492.0138,118.0029,0.117245,6.361171,0.074504
4,gen3 samples,548.0551,120.4171,0.111395,6.052866,0.074394
5,gen4 samples,627.2327,123.5299,0.100646,5.514974,0.129292
6,gen5 samples,700.3141,131.3259,0.095918,5.194742,0.061494
7,gen6 samples,752.7304,134.9678,0.090594,4.926755,0.061315
8,gen7 samples,819.5965,136.1592,0.089538,4.862464,0.061251
9,gen8 samples,877.5477,137.3208,0.084484,4.582682,0.06138
10,gen9 samples,977.7217,140.1902,0.077448,4.205376,0.101242
11,gen10 samples,1067.9603,149.6608,0.069171,3.789396,0.048335
12,gen11 samples,1124.3741,151.0112,0.067944,3.708286,0.047862
13,gen12 samples,1184.8319,151.858,0.062666,3.424005,0.048219
14,gen13 samples,1278.2895,155.2294,0.055704,3.054124,0.074808
15,gen14 samples,1376.3142,164.8794,0.049691,2.73543,0.035973
16,gen15 samples,1420.2025,166.7436,0.045934,2.514303,0.035611
17,gen16 samples,1470.2673,168.8563,0.043432,2.385913,0.035672
18,gen17 samples,1519.7607,171.5738,0.039026,2.142946,0.036251
19,gen18 samples,1631.4284,184.6531,0.032957,1.808197,0.024574
20,gen19 samples,1665.9224,185.9218,0.029393,1.629137,0.023366
21,gen20 samples,1714.3053,190.9972,0.023604,1.312023,0.061421
22,gen21 samples,1751.685,196.4482,0.019961,1.120465,0.01201
23,gen22 samples,1772.4387,197.0296,0.01867,1.054792,0.012043
24,gen23 samples,1793.1901,197.7885,0.016096,0.903651,0.011885
25,gen24 samples,1815.6364,198.8069,0.014086,0.799108,0.011572
26,gen25 samples,1843.977,199.8025,0.010247,0.580326,0.011024
27,gen26 samples,1900.4827,204.8864,0.00513,0.289185,0.04745
28,gen27 samples,1941.2312,210.5365,0.000908,0.050238,0.000247
29,gen28 samples,1941.6953,210.5416,0.000812,0.045851,6.5e-05
30,gen29 samples,1941.5968,210.5431,0.000807,0.045833,4.2e-05
31,gen30 samples,1941.7902,210.5458,0.000818,0.04632,4.4e-05
32,gen31 samples,1941.657,210.544,0.000822,0.046201,4e-05
33,gen32 samples,1941.8372,210.5481,0.000791,0.044691,4.5e-05
34,gen33 samples,1941.7494,210.5467,0.000823,0.04681,4.3e-05
35,gen34 samples,1941.8079,210.5562,0.000824,0.046136,4.8e-05
36,gen35 samples,1941.798,210.5551,0.000849,0.047026,4.8e-05
37,gen36 samples,1941.8836,210.5614,0.000796,0.045509,5.5e-05
38,gen37 samples,1941.8076,210.5607,0.000809,0.045626,4.8e-05
39,gen38 samples,1941.5546,210.5629,0.000882,0.049041,3.9e-05
40,gen39 samples,1941.8315,210.5572,0.000828,0.046733,5.8e-05
41,gen40 samples,1941.7583,210.5536,0.000823,0.045952,4.3e-05
42,gen41 samples,1941.9091,210.5487,0.000803,0.045546,5.4e-05
43,gen42 samples,1941.9218,210.5485,0.000791,0.044447,4.4e-05
44,gen43 samples,1941.6437,210.5458,0.000852,0.047553,4.3e-05
45,gen44 samples,1941.7905,210.5403,0.000813,0.046192,5.1e-05
46,gen45 samples,1941.8103,210.5377,0.000796,0.045041,4.2e-05
47,gen46 samples,1941.5993,210.5329,0.000816,0.046187,4.5e-05
48,gen47 samples,1941.6444,210.5347,0.00083,0.046563,4.5e-05
49,gen48 samples,1941.6931,210.536,0.000824,0.046457,4.4e-05
