generation,w_from_gen0
0,0.0
1,0.286
2,0.5041
3,0.6572
4,0.7869
5,0.9224
6,1.0544
7,1.1538
8,1.2466
9,1.354
10,1.4784
11,1.5937
12,1.6785
13,1.7643
14,1.9021
15,2.0003
16,2.0636
17,2.121
18,2.1823
19,2.2844
20,2.3248
21,2.3739
22,2.4078
23,2.4375
24,2.4705
25,2.5106
26,2.5554
27,2.6569
28,2.7347
29,2.7356
30,2.7355
31,2.7357
32,2.7355
33,2.7357
34,2.7355
35,2.7355
36,2.7354
37,2.7356
38,2.7355
39,2.7351
40,2.7356
41,2.7354
42,2.7357
43,2.7356
44,2.7353
45,2.7355
46,2.7356
47,2.7354
48,2.7353
49,2.7354
