generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,216.671,105.0576,0.148991,7.773932,0.166254,298.2476,0.135784,7.300765
1,gen0 samples,210.9311,117.2139,0.150441,7.789811,0.166411,359.7159,0.130948,6.874695
2,gen1 samples,197.8116,124.3103,0.157368,8.098639,0.069086,335.326,0.138183,7.155941
3,gen2 samples,186.567,125.7358,0.158262,8.107768,0.068512,312.4395,0.141758,7.273861
4,gen3 samples,179.915,126.8034,0.165939,8.512961,0.069121,292.1099,0.151317,7.786084
5,gen4 samples,187.3261,126.8618,0.166798,8.546696,0.06876,289.8939,0.151858,7.773581
6,gen5 samples,195.0712,127.3292,0.165846,8.513312,0.07038,289.762,0.150695,7.738328
7,gen6 samples,204.7515,127.9139,0.166845,8.56237,0.070076,289.7977,0.152316,7.835932
8,gen7 samples,221.6664,129.6245,0.167711,8.593701,0.071889,293.5309,0.153658,7.911272
9,gen8 samples,238.013,131.7505,0.168362,8.633767,0.070226,303.8068,0.154544,7.947436
