generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,298.2476,105.0576,0.135784,7.300765,0.166254,298.2476,0.135784,7.300765
1,gen0 samples,287.3194,102.0672,0.137713,7.383863,0.096663,287.3194,0.137713,7.383863
2,gen1 samples,299.0884,101.036,0.135939,7.279576,0.083444,299.0884,0.135939,7.279576
3,gen2 samples,305.0548,100.4421,0.135577,7.252565,0.079776,305.0548,0.135577,7.252565
4,gen3 samples,320.0224,100.3641,0.134313,7.221569,0.077526,320.0224,0.134313,7.221569
5,gen4 samples,322.9656,100.039,0.132184,7.092126,0.076377,322.9656,0.132184,7.092126
6,gen5 samples,325.6069,100.0411,0.133184,7.123205,0.075338,325.6069,0.133184,7.123205
7,gen6 samples,332.9639,99.8638,0.134129,7.128163,0.074901,332.9639,0.134129,7.128163
8,gen7 samples,335.98,99.9392,0.13427,7.173563,0.074427,335.98,0.13427,7.173563
9,gen8 samples,341.4009,99.7595,0.132517,7.040205,0.074081,341.4009,0.132517,7.040205
