generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,226.4743,98.4314,0.141543,7.696871,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,326.5645,106.2767,0.134009,7.217156,0.100606,326.5645,0.134009,7.217156
2,gen1 samples,403.0173,110.3802,0.12359,6.730753,0.143259,403.0173,0.12359,6.730753
3,gen2 samples,466.0205,114.72,0.119496,6.485207,0.075474,466.0205,0.119496,6.485207
4,gen3 samples,512.0264,116.1338,0.113474,6.177051,0.07532,512.0264,0.113474,6.177051
5,gen4 samples,550.6004,116.9098,0.109547,5.955791,0.075242,550.6004,0.109547,5.955791
6,gen5 samples,580.8015,118.1913,0.106649,5.794145,0.075099,580.8015,0.106649,5.794145
7,gen6 samples,603.9715,119.1991,0.105142,5.678432,0.076325,603.9715,0.105142,5.678432
8,gen7 samples,646.5634,121.6215,0.10229,5.519735,0.143321,646.5634,0.10229,5.519735
9,gen8 samples,679.7123,126.9422,0.10116,5.439047,0.062384,679.7123,0.10116,5.439047
10,gen9 samples,706.462,127.8184,0.096314,5.192636,0.062282,706.462,0.096314,5.192636
11,gen10 samples,736.0738,128.0594,0.092841,5.001163,0.061681,736.0738,0.092841,5.001163
12,gen11 samples,758.3327,128.5359,0.092236,4.983006,0.062616,758.3327,0.092236,4.983006
13,gen12 samples,775.5014,128.7902,0.091108,4.88884,0.062071,775.5014,0.091108,4.88884
14,gen13 samples,779.7041,129.0341,0.088498,4.759961,0.061304,779.7041,0.088498,4.759961
15,gen14 samples,786.3863,129.3284,0.091523,4.922077,0.061207,786.3863,0.091523,4.922077
16,gen15 samples,800.4012,129.6445,0.086813,4.667942,0.061852,800.4012,0.086813,4.667942
17,gen16 samples,809.9446,129.9755,0.088056,4.723038,0.062329,809.9446,0.088056,4.723038
18,gen17 samples,847.4425,130.8131,0.085334,4.598291,0.072965,847.4425,0.085334,4.598291
19,gen18 samples,883.743,133.2217,0.083288,4.486645,0.117067,883.743,0.083288,4.486645
20,gen19 samples,899.7388,139.3485,0.085144,4.582726,0.051254,899.7388,0.085144,4.582726
21,gen20 samples,908.1574,139.3216,0.082574,4.453264,0.05056,908.1574,0.082574,4.453264
22,gen21 samples,910.0715,139.1002,0.082744,4.444322,0.050007,910.0715,0.082744,4.444322
23,gen22 samples,917.1216,138.9939,0.081685,4.387335,0.050122,917.1216,0.081685,4.387335
24,gen23 samples,918.5693,139.1575,0.082148,4.390464,0.050317,918.5693,0.082148,4.390464
25,gen24 samples,932.9373,139.1927,0.081732,4.391877,0.050582,932.9373,0.081732,4.391877
26,gen25 samples,935.5877,139.0427,0.080517,4.322679,0.050453,935.5877,0.080517,4.322679
27,gen26 samples,941.6718,139.4073,0.079442,4.281481,0.051262,941.6718,0.079442,4.281481
28,gen27 samples,939.059,139.0331,0.077387,4.169047,0.050443,939.059,0.077387,4.169047
29,gen28 samples,944.0021,139.1385,0.078537,4.228866,0.050108,944.0021,0.078537,4.228866
30,gen29 samples,939.112,139.1012,0.080462,4.314052,0.049954,939.112,0.080462,4.314052
31,gen30 samples,952.2898,139.3506,0.079748,4.270373,0.0529,952.2898,0.079748,4.270373
32,gen31 samples,1017.8018,141.5872,0.074963,4.0103,0.098323,1017.8018,0.074963,4.0103
33,gen32 samples,1060.0445,152.2266,0.071972,3.852278,0.039192,1060.0445,0.071972,3.852278
34,gen33 samples,1060.5673,152.1618,0.071143,3.812956,0.038319,1060.5673,0.071143,3.812956
35,gen34 samples,1050.0783,152.1201,0.074033,3.953571,0.038303,1050.0783,0.074033,3.953571
36,gen35 samples,1055.926,151.9371,0.072517,3.869464,0.038649,1055.926,0.072517,3.869464
37,gen36 samples,1050.0955,151.8326,0.073408,3.907942,0.038373,1050.0955,0.073408,3.907942
38,gen37 samples,1045.5488,151.8709,0.072057,3.846417,0.03884,1045.5488,0.072057,3.846417
39,gen38 samples,1039.3345,151.8654,0.075187,4.003962,0.038603,1039.3345,0.075187,4.003962
40,gen39 samples,1045.3106,151.7397,0.074194,3.969571,0.038791,1045.3106,0.074194,3.969571
41,gen40 samples,1040.0397,151.5859,0.072677,3.868172,0.038985,1040.0397,0.072677,3.868172
42,gen41 samples,1041.0163,151.4812,0.07566,4.028227,0.038325,1041.0163,0.07566,4.028227
43,gen42 samples,1040.2125,151.627,0.074551,3.991032,0.038718,1040.2125,0.074551,3.991032
44,gen43 samples,1039.8742,151.4938,0.072156,3.846864,0.038564,1039.8742,0.072156,3.846864
45,gen44 samples,1035.0561,151.2347,0.0736,3.905229,0.038672,1035.0561,0.0736,3.905229
46,gen45 samples,1033.448,151.0965,0.072423,3.861542,0.038819,1033.448,0.072423,3.861542
47,gen46 samples,1029.7155,150.8953,0.073607,3.916021,0.038683,1029.7155,0.073607,3.916021
48,gen47 samples,1022.9991,150.644,0.074892,3.99016,0.038518,1022.9991,0.074892,3.99016
49,gen48 samples,1018.3077,150.4106,0.074823,3.964651,0.039244,1018.3077,0.074823,3.964651
