generation,w_from_gen0
0,0.0
1,0.2779
2,0.4789
3,0.5931
4,0.7127
5,0.7865
6,0.8522
7,0.9007
8,0.966
9,1.0281
10,1.0689
11,1.1207
12,1.1631
13,1.1834
14,1.2054
15,1.2278
16,1.2357
17,1.2561
18,1.3143
19,1.3697
20,1.3934
21,1.3995
22,1.4033
23,1.4018
24,1.4194
25,1.4285
26,1.4468
27,1.4555
28,1.458
29,1.4735
30,1.459
31,1.4682
32,1.5461
33,1.6029
34,1.6023
35,1.6056
36,1.589
37,1.6026
38,1.5972
39,1.5872
40,1.5882
41,1.5979
42,1.5862
43,1.5811
44,1.5986
45,1.589
46,1.5938
47,1.5785
48,1.5831
49,1.5728
