generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,167.9481,98.4314,0.148423,7.955489,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,158.162,98.0604,0.148553,7.943091,0.116659,221.356,0.142325,7.65062
2,gen1 samples,156.057,98.4336,0.150999,8.035485,0.08817,217.0576,0.143895,7.711929
3,gen2 samples,154.6371,98.4332,0.152266,8.092366,0.090175,213.8552,0.145404,7.79385
4,gen3 samples,153.0712,98.5803,0.151374,8.059542,0.092827,211.7207,0.145079,7.778171
5,gen4 samples,161.8334,98.6271,0.149494,7.953804,0.086765,219.112,0.141618,7.613642
6,gen5 samples,158.5182,98.5599,0.153195,8.149339,0.087266,218.4184,0.145768,7.797231
7,gen6 samples,155.7919,98.3801,0.153247,8.147543,0.087841,213.052,0.146585,7.82
8,gen7 samples,154.5273,98.5522,0.155128,8.195276,0.087531,212.9662,0.147229,7.846802
9,gen8 samples,158.1896,98.7571,0.152972,8.087731,0.089764,217.7963,0.145332,7.755873
10,gen9 samples,154.6163,98.6033,0.152936,8.167077,0.08718,213.2941,0.147182,7.861402
11,gen10 samples,154.0035,98.6048,0.151683,8.071165,0.086667,209.6238,0.144611,7.765593
12,gen11 samples,155.1738,98.622,0.152352,8.085737,0.086679,213.7295,0.145504,7.778512
13,gen12 samples,155.155,98.0661,0.150904,8.014714,0.116602,212.342,0.143865,7.707907
14,gen13 samples,157.7272,98.5052,0.153232,8.13791,0.093809,214.2654,0.144871,7.76911
15,gen14 samples,150.8531,98.6437,0.152859,8.124853,0.087531,206.8677,0.144853,7.783741
16,gen15 samples,149.4405,98.4111,0.151535,8.051257,0.086931,205.7939,0.14384,7.710924
17,gen16 samples,167.5412,98.5329,0.153607,8.138194,0.08632,231.0212,0.146219,7.806239
18,gen17 samples,169.3252,98.4492,0.15258,8.058093,0.087956,231.2094,0.145305,7.748354
19,gen18 samples,162.5055,98.4962,0.1517,8.02565,0.08629,221.8173,0.143741,7.665219
20,gen19 samples,159.7346,98.5114,0.150592,7.974766,0.086246,216.8564,0.143618,7.681463
21,gen20 samples,154.6188,98.2122,0.15009,8.022644,0.086811,213.8845,0.143664,7.701901
22,gen21 samples,152.6984,98.3551,0.153532,8.065264,0.086975,212.5442,0.145241,7.699112
23,gen22 samples,152.184,98.5242,0.152982,8.120952,0.086778,212.1601,0.145593,7.798751
24,gen23 samples,156.4035,98.4515,0.154822,8.174028,0.088151,213.959,0.146971,7.835586
25,gen24 samples,153.5752,98.5757,0.153652,8.182598,0.086326,209.1315,0.14614,7.836757
26,gen25 samples,152.8267,98.4487,0.154358,8.170398,0.086554,211.9248,0.146828,7.82907
27,gen26 samples,155.3984,98.6323,0.152058,8.084225,0.088091,211.6749,0.143413,7.721167
28,gen27 samples,160.7268,98.3934,0.151051,8.001265,0.097103,222.084,0.143879,7.680793
29,gen28 samples,156.8008,98.598,0.153678,8.13109,0.087606,216.6227,0.145602,7.767694
