generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,226.4743,98.4314,0.141543,7.696871,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,244.3837,96.2592,0.141006,7.643501,0.127777,244.3837,0.141006,7.643501
2,gen1 samples,236.7366,96.8364,0.144346,7.739753,0.135041,236.7366,0.144346,7.739753
3,gen2 samples,230.2648,97.5857,0.144812,7.787399,0.087838,230.2648,0.144812,7.787399
4,gen3 samples,229.5484,97.3203,0.142917,7.680562,0.08668,229.5484,0.142917,7.680562
5,gen4 samples,229.9335,97.2369,0.141519,7.664873,0.086865,229.9335,0.141519,7.664873
6,gen5 samples,232.4844,97.109,0.144362,7.78059,0.087012,232.4844,0.144362,7.78059
7,gen6 samples,233.991,96.8873,0.144829,7.726797,0.08685,233.991,0.144829,7.726797
8,gen7 samples,236.3511,96.8232,0.142137,7.5951,0.086209,236.3511,0.142137,7.5951
9,gen8 samples,225.1761,96.5518,0.147049,7.862575,0.087154,225.1761,0.147049,7.862575
10,gen9 samples,226.9019,96.671,0.146152,7.772332,0.086351,226.9019,0.146152,7.772332
11,gen10 samples,223.4439,96.7684,0.145825,7.797198,0.086946,223.4439,0.145825,7.797198
12,gen11 samples,233.5032,96.7405,0.145995,7.805048,0.086733,233.5032,0.145995,7.805048
13,gen12 samples,227.2368,96.6192,0.14638,7.812383,0.086609,227.2368,0.14638,7.812383
14,gen13 samples,224.0775,96.4701,0.143932,7.718425,0.086712,224.0775,0.143932,7.718425
15,gen14 samples,224.1298,96.4603,0.141703,7.614198,0.087106,224.1298,0.141703,7.614198
16,gen15 samples,215.3839,96.3913,0.144626,7.747785,0.08713,215.3839,0.144626,7.747785
17,gen16 samples,225.6944,96.5017,0.145025,7.743523,0.086435,225.6944,0.145025,7.743523
18,gen17 samples,221.6964,96.4006,0.143483,7.74489,0.087878,221.6964,0.143483,7.74489
19,gen18 samples,222.8341,96.4226,0.143498,7.680529,0.086232,222.8341,0.143498,7.680529
20,gen19 samples,228.131,96.4341,0.147039,7.815017,0.08755,228.131,0.147039,7.815017
21,gen20 samples,231.7995,96.3495,0.145426,7.763408,0.08663,231.7995,0.145426,7.763408
22,gen21 samples,228.191,96.2128,0.148542,7.939616,0.087238,228.191,0.148542,7.939616
23,gen22 samples,230.1827,96.3618,0.143534,7.653707,0.086672,230.1827,0.143534,7.653707
24,gen23 samples,229.5364,96.2448,0.143593,7.750051,0.086957,229.5364,0.143593,7.750051
25,gen24 samples,223.1495,96.2438,0.149658,7.958488,0.088135,223.1495,0.149658,7.958488
26,gen25 samples,229.9339,96.3201,0.148539,7.850699,0.090284,229.9339,0.148539,7.850699
27,gen26 samples,221.7691,96.3092,0.146481,7.777514,0.087391,221.7691,0.146481,7.777514
28,gen27 samples,225.8329,96.2527,0.147998,7.834029,0.087216,225.8329,0.147998,7.834029
29,gen28 samples,237.8613,96.262,0.143088,7.680049,0.086991,237.8613,0.143088,7.680049
