generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,141.6029,98.4314,0.155092,8.234443,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,139.3501,108.9405,0.157184,8.29393,0.123766,289.6201,0.13789,7.344624
2,gen1 samples,132.0939,112.4689,0.159567,8.408438,0.080261,269.34,0.143412,7.622156
3,gen2 samples,127.6107,112.6309,0.161583,8.479268,0.078608,255.9533,0.146859,7.746989
4,gen3 samples,131.3214,113.1618,0.158664,8.371018,0.079134,264.0974,0.141537,7.54652
5,gen4 samples,130.6633,113.0046,0.159095,8.399264,0.078624,259.7105,0.142316,7.608168
6,gen5 samples,131.9129,113.0969,0.159725,8.416769,0.079931,265.674,0.143818,7.650675
7,gen6 samples,126.7873,113.1902,0.16067,8.447959,0.079314,249.979,0.145307,7.704055
8,gen7 samples,123.7948,113.1489,0.16019,8.451144,0.083878,241.3954,0.144048,7.692834
9,gen8 samples,122.5404,113.0405,0.157977,8.365255,0.080429,239.6218,0.141159,7.573297
10,gen9 samples,122.9642,113.6084,0.161486,8.507105,0.083589,243.3057,0.147181,7.814084
11,gen10 samples,122.7955,113.7557,0.161486,8.468177,0.079251,240.4205,0.146222,7.723807
12,gen11 samples,119.2364,113.2874,0.161877,8.503583,0.080379,233.0822,0.147458,7.799549
13,gen12 samples,129.0384,112.7204,0.159401,8.414824,0.102264,256.055,0.143126,7.64538
14,gen13 samples,128.1611,112.9116,0.161488,8.485051,0.079351,256.9178,0.146779,7.745738
15,gen14 samples,128.191,113.5884,0.160836,8.451827,0.079554,257.3773,0.144808,7.674672
16,gen15 samples,131.5988,113.2396,0.159537,8.402038,0.079528,266.6055,0.143997,7.63808
17,gen16 samples,136.078,113.2103,0.160194,8.437783,0.078415,275.2193,0.143869,7.669316
18,gen17 samples,138.1299,113.0685,0.160571,8.454442,0.080137,281.7033,0.146004,7.757512
19,gen18 samples,133.6414,113.2448,0.16031,8.461808,0.079948,271.7244,0.145285,7.74781
20,gen19 samples,134.164,112.8711,0.160343,8.443396,0.079495,273.4891,0.145833,7.739577
21,gen20 samples,133.28,113.1111,0.159818,8.411191,0.079844,273.8272,0.144823,7.679023
22,gen21 samples,141.3376,110.5397,0.160288,8.438004,0.087606,288.2446,0.146287,7.753959
23,gen22 samples,140.8207,112.8962,0.158316,8.344201,0.088893,292.2906,0.140081,7.465253
24,gen23 samples,143.401,113.0878,0.160829,8.456533,0.0791,295.5451,0.146354,7.75297
25,gen24 samples,146.4383,113.2179,0.158202,8.347685,0.078983,305.6808,0.142224,7.581645
26,gen25 samples,145.2248,112.8297,0.158458,8.365259,0.079124,302.9317,0.142758,7.589529
27,gen26 samples,140.252,112.9166,0.160206,8.418959,0.080612,289.8338,0.144854,7.662351
28,gen27 samples,134.0482,113.0845,0.159839,8.427273,0.081489,274.495,0.144235,7.653323
29,gen28 samples,135.4628,112.8379,0.159625,8.415821,0.078739,274.5167,0.143738,7.645436
30,gen29 samples,141.6944,110.5627,0.159415,8.383916,0.088376,294.1949,0.143628,7.606893
31,gen30 samples,140.0881,112.8819,0.160096,8.400118,0.081371,292.3092,0.144798,7.629458
32,gen31 samples,138.6109,113.3478,0.158667,8.360144,0.080387,285.3921,0.141577,7.524533
33,gen32 samples,138.9144,113.1596,0.160505,8.439295,0.080691,290.5526,0.14418,7.640326
34,gen33 samples,136.058,113.4575,0.158639,8.366568,0.084452,283.6811,0.1419,7.565371
35,gen34 samples,137.548,113.6534,0.160697,8.442086,0.081645,284.4963,0.14549,7.704334
36,gen35 samples,135.559,113.7263,0.161453,8.458338,0.083211,280.9762,0.146711,7.695218
37,gen36 samples,135.1364,115.3306,0.159582,8.406952,0.121693,281.2812,0.142887,7.58693
38,gen37 samples,136.0049,116.0688,0.160215,8.415494,0.079299,278.1656,0.14485,7.625245
39,gen38 samples,147.6001,114.0406,0.158852,8.398189,0.084049,315.0308,0.142317,7.592541
40,gen39 samples,145.2024,113.855,0.159377,8.404415,0.082018,307.4538,0.143832,7.642143
41,gen40 samples,141.8042,113.8305,0.158663,8.380519,0.084199,297.8211,0.14157,7.547314
42,gen41 samples,136.684,113.9442,0.1592,8.382065,0.081077,278.2495,0.143583,7.601517
43,gen42 samples,139.8106,115.0314,0.159873,8.403517,0.113335,297.2907,0.142977,7.578546
44,gen43 samples,141.168,120.204,0.161599,8.488219,0.082561,299.7382,0.147114,7.756057
45,gen44 samples,148.6605,116.2968,0.158572,8.338687,0.078563,311.0192,0.141781,7.49309
46,gen45 samples,143.2284,115.9388,0.159122,8.401147,0.081217,294.6193,0.141997,7.564493
47,gen46 samples,150.5291,115.6598,0.159233,8.37421,0.078236,314.787,0.142711,7.542049
48,gen47 samples,149.7739,115.9185,0.161053,8.44809,0.081581,312.7416,0.146461,7.731211
49,gen48 samples,148.0627,117.4182,0.159834,8.415882,0.134076,313.0523,0.143874,7.643442
