generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,92.5843,98.4314,0.166572,8.708165,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,92.4771,117.3623,0.166572,8.708166,0.103724,228.9346,0.146987,7.789259
2,gen1 samples,92.3997,115.496,0.166572,8.708166,0.118945,256.1775,0.139825,7.465435
3,gen2 samples,92.4843,117.3478,0.166572,8.708165,0.084457,245.1893,0.146891,7.802656
4,gen3 samples,92.4765,118.0149,0.166572,8.708165,0.081869,254.1778,0.145196,7.715749
5,gen4 samples,92.3051,118.1173,0.166572,8.708165,0.082568,223.0356,0.148279,7.866054
6,gen5 samples,92.3285,117.551,0.166572,8.708166,0.080945,221.8293,0.146445,7.785838
7,gen6 samples,92.4408,112.9836,0.166572,8.708166,0.08886,248.7571,0.146543,7.75783
8,gen7 samples,92.3512,118.6328,0.166572,8.708165,0.111225,278.0688,0.143698,7.633263
9,gen8 samples,92.49,117.7586,0.166572,8.708165,0.084574,230.8099,0.1461,7.731908
10,gen9 samples,92.4744,118.2041,0.166572,8.708165,0.088215,226.6706,0.146572,7.786206
11,gen10 samples,92.3172,116.5447,0.166572,8.708165,0.121474,249.7418,0.144858,7.699269
12,gen11 samples,92.4812,118.0152,0.166572,8.708165,0.082328,223.7525,0.147958,7.816942
13,gen12 samples,92.3969,117.9794,0.166572,8.708166,0.091259,227.7364,0.143804,7.686693
14,gen13 samples,92.4126,118.719,0.166572,8.708166,0.08243,208.3992,0.147793,7.885178
15,gen14 samples,92.5012,119.6161,0.166572,8.708166,0.085772,196.1092,0.148484,7.888545
16,gen15 samples,92.3604,118.6284,0.166572,8.708165,0.102831,218.8173,0.145055,7.72837
17,gen16 samples,92.2841,118.2936,0.166572,8.708166,0.085266,220.4343,0.144614,7.742507
18,gen17 samples,92.4119,118.27,0.166572,8.708166,0.083096,217.1252,0.148438,7.91824
19,gen18 samples,92.3693,118.6388,0.166572,8.708166,0.082621,215.8902,0.149581,7.934524
20,gen19 samples,92.466,118.0449,0.166572,8.708166,0.081642,215.5676,0.151483,8.00169
21,gen20 samples,92.3135,117.9475,0.166572,8.708166,0.081098,216.656,0.149412,7.94969
22,gen21 samples,92.3296,118.0676,0.166572,8.708166,0.096203,211.4269,0.14933,7.897849
23,gen22 samples,92.3345,117.1772,0.166572,8.708165,0.081588,233.999,0.146345,7.786392
24,gen23 samples,92.3765,116.5626,0.166572,8.708166,0.121138,234.0082,0.147401,7.829232
25,gen24 samples,92.388,117.8003,0.166572,8.708165,0.082527,212.7272,0.145158,7.750075
26,gen25 samples,92.4047,118.616,0.166572,8.708166,0.080442,227.2668,0.148599,7.889376
27,gen26 samples,92.3637,117.9245,0.166572,8.708166,0.080191,231.2699,0.14566,7.743469
28,gen27 samples,92.3507,118.4136,0.166572,8.708166,0.080997,218.9844,0.147513,7.805522
29,gen28 samples,92.3831,116.7271,0.166572,8.708166,0.117492,232.308,0.14743,7.87095
30,gen29 samples,92.5127,113.1321,0.166572,8.708166,0.088286,248.822,0.144857,7.710295
31,gen30 samples,92.4174,117.5027,0.166572,8.708166,0.101074,228.1649,0.148116,7.849289
32,gen31 samples,92.5124,114.302,0.166572,8.708165,0.088918,257.7429,0.143396,7.644717
33,gen32 samples,92.3675,117.5808,0.166572,8.708166,0.089403,230.1937,0.143382,7.620899
34,gen33 samples,92.3079,118.4949,0.166572,8.708165,0.08088,225.8783,0.144037,7.661931
35,gen34 samples,92.4154,118.9198,0.166572,8.708165,0.082004,220.5256,0.149355,7.909013
36,gen35 samples,92.5029,117.1,0.166572,8.708166,0.108507,249.3408,0.145587,7.726618
37,gen36 samples,92.3915,122.847,0.166572,8.708166,0.132058,240.4231,0.147768,7.835746
38,gen37 samples,92.5806,116.5545,0.166572,8.708165,0.119911,262.1344,0.144214,7.637501
39,gen38 samples,92.3909,117.8446,0.166572,8.708165,0.080838,221.9081,0.143425,7.674109
40,gen39 samples,92.467,117.5147,0.166572,8.708166,0.128872,260.9244,0.145175,7.731833
41,gen40 samples,92.4595,114.5365,0.166572,8.708166,0.090124,230.3795,0.143601,7.64618
42,gen41 samples,92.3264,118.642,0.166572,8.708166,0.080369,213.8423,0.151832,7.992112
43,gen42 samples,92.3171,117.6659,0.166572,8.708165,0.085961,233.5741,0.147359,7.811428
44,gen43 samples,92.3683,115.7204,0.166572,8.708166,0.095489,234.4348,0.147542,7.836617
45,gen44 samples,92.3665,120.9159,0.166572,8.708166,0.106285,219.1256,0.145697,7.734372
46,gen45 samples,92.419,118.0886,0.166572,8.708166,0.080609,231.7741,0.149366,7.883154
47,gen46 samples,92.3229,118.6849,0.166572,8.708165,0.08333,220.0685,0.147535,7.851708
48,gen47 samples,92.2706,118.3683,0.166572,8.708166,0.084279,205.2199,0.151445,8.029728
49,gen48 samples,92.5102,117.2919,0.166572,8.708166,0.116416,229.1514,0.147244,7.809435
