generation,source,fid,test_bce,sample_pixel_std,mean_pairwise_l2,post_std_mean,raw_fid,raw_pixel_std,raw_pairwise_l2
0,real,221.8772,98.4314,0.163046,8.503837,0.141999,226.4743,0.141543,7.696871
1,gen0 samples,223.5124,186.0484,0.163278,8.511151,0.04771,358.9089,0.133939,7.114269
2,gen1 samples,223.2364,194.3036,0.163206,8.506304,0.044074,347.1239,0.135418,7.203549
3,gen2 samples,223.1177,195.8872,0.163186,8.507992,0.037214,335.3586,0.139264,7.435386
4,gen3 samples,223.573,199.0329,0.163178,8.506752,0.039522,341.3933,0.138443,7.334309
5,gen4 samples,223.1906,192.884,0.163098,8.502383,0.04608,355.2953,0.1335,7.111587
6,gen5 samples,222.9185,194.2137,0.163156,8.506419,0.047012,366.7855,0.131877,7.045237
7,gen6 samples,223.2889,191.5056,0.163242,8.509655,0.048427,362.748,0.132847,7.119831
8,gen7 samples,223.2489,197.7428,0.163091,8.503798,0.047269,345.5961,0.136982,7.309373
9,gen8 samples,223.5385,192.4944,0.163247,8.508085,0.047539,356.3683,0.135035,7.171436
10,gen9 samples,223.4293,194.1087,0.163281,8.509182,0.046604,350.2926,0.132996,7.125319
11,gen10 samples,223.2542,194.6559,0.163159,8.505793,0.0478,363.0503,0.134026,7.152671
12,gen11 samples,222.9589,202.31,0.163186,8.506949,0.037522,328.2703,0.14027,7.462424
13,gen12 samples,223.1675,194.6021,0.163324,8.511797,0.048043,361.8894,0.132584,7.106263
14,gen13 samples,223.4879,197.1943,0.163183,8.506542,0.03818,335.966,0.136983,7.256313
15,gen14 samples,223.4109,195.8782,0.163287,8.509195,0.047677,346.6873,0.134755,7.179556
16,gen15 samples,223.3576,195.0491,0.163121,8.502859,0.037822,359.9905,0.135856,7.207339
17,gen16 samples,223.1602,196.2107,0.163169,8.5073,0.04126,354.1423,0.13444,7.107696
18,gen17 samples,223.4437,195.1065,0.16324,8.508827,0.046654,353.6117,0.135737,7.216503
19,gen18 samples,223.5254,197.0484,0.16325,8.510227,0.046755,348.7403,0.133719,7.143731
20,gen19 samples,223.5353,194.9701,0.163221,8.5062,0.047794,369.8915,0.138144,7.316679
21,gen20 samples,223.1845,193.9406,0.163223,8.507921,0.037771,343.4245,0.13699,7.292117
22,gen21 samples,223.6445,188.641,0.163167,8.505075,0.047158,365.0026,0.137332,7.330969
23,gen22 samples,223.2385,197.7523,0.163264,8.511139,0.037876,329.5902,0.137974,7.361349
24,gen23 samples,223.5136,194.2047,0.163212,8.509109,0.047859,359.2608,0.135717,7.219237
25,gen24 samples,223.0428,194.392,0.163218,8.507189,0.046278,363.3271,0.13313,7.118948
26,gen25 samples,223.4025,191.0927,0.16323,8.508558,0.048315,352.974,0.130795,7.005731
27,gen26 samples,223.4312,196.6605,0.163339,8.509686,0.037903,336.0171,0.136504,7.264372
28,gen27 samples,223.2998,200.2414,0.163189,8.505624,0.037504,336.3011,0.137782,7.371384
29,gen28 samples,223.3512,195.1513,0.163246,8.509781,0.047965,361.9858,0.132279,7.039554
30,gen29 samples,223.4236,198.5426,0.16331,8.510951,0.048064,362.7957,0.130809,6.994882
31,gen30 samples,223.4854,194.6472,0.163343,8.514043,0.037585,335.743,0.139185,7.391548
32,gen31 samples,223.5001,197.249,0.163281,8.509308,0.037383,336.3186,0.13588,7.232013
33,gen32 samples,223.4563,195.3197,0.1632,8.508615,0.047397,354.9882,0.133278,7.101952
34,gen33 samples,223.3582,204.4603,0.163225,8.508907,0.038612,334.0997,0.135395,7.226347
35,gen34 samples,223.111,199.5603,0.163249,8.508327,0.039215,342.432,0.135264,7.239219
36,gen35 samples,223.6757,194.0646,0.163199,8.507776,0.046863,354.273,0.137363,7.320714
37,gen36 samples,223.4323,196.9036,0.163229,8.507978,0.037954,339.1554,0.137317,7.290837
38,gen37 samples,223.5894,192.2368,0.16325,8.509688,0.045934,350.5606,0.136155,7.202927
39,gen38 samples,223.1844,196.009,0.16323,8.509187,0.038495,345.7435,0.1343,7.166019
40,gen39 samples,223.4177,194.9929,0.163231,8.509384,0.048064,362.5578,0.133969,7.160177
41,gen40 samples,222.9908,195.1723,0.163222,8.510129,0.048046,367.8309,0.134858,7.195429
42,gen41 samples,223.5479,195.1567,0.163209,8.507506,0.038321,346.3707,0.139998,7.449897
43,gen42 samples,223.2977,204.6013,0.163146,8.507905,0.037283,350.179,0.141818,7.517931
44,gen43 samples,223.3556,203.2976,0.163203,8.507007,0.039692,341.9451,0.134622,7.19254
45,gen44 samples,223.2951,199.9362,0.163272,8.509965,0.037692,335.8934,0.132677,7.086087
46,gen45 samples,223.5546,194.6506,0.163277,8.509382,0.046884,353.356,0.135123,7.211388
47,gen46 samples,223.4033,195.6808,0.163231,8.50903,0.037406,338.1616,0.133424,7.11089
48,gen47 samples,223.5973,197.0213,0.163206,8.507813,0.042693,342.7761,0.134004,7.157064
49,gen48 samples,222.9202,206.1326,0.163231,8.509989,0.042371,322.4243,0.140212,7.443861
